to_d,stock,current,forecast,buying,quant,g_act_abs,g_act_pct,g_exp_abs,g_exp_pct
09-01-21,SPWR,29,27,31.78,15,-30,-0.09,-30,-0.07
09-01-21,NIO,58,49,57.21,15,0,0.01,-135,-0.16
09-01-21,SONO,24,24,21.199,25,50,0.13,0,0.0
09-01-21,RVLV,33,31,27.4,9,45,0.2,-18,-0.06
09-01-21,MRNA,112,117,146.58,3,-102,-0.24,15,0.04
09-01-21,HFG.DE,64,63,61.95,7,14,0.03,-7,-0.02
09-01-21,BNTX,100,92,110.4,5,-50,-0.09,-40,-0.08
09-01-21,NET,79,79,81.53,6,-12,-0.03,0,0.0
09-01-21,PINS,71,69,67.48,10,30,0.05,-20,-0.03
09-01-21,ABNB,149,151,148.69,5,0,0.0,10,0.01
10-01-21,AAPL,132,129,132.12,3,0,-0.0,-9,-0.02
10-01-21,ADS,74,74,77.23,6,-18,-0.04,0,0.0
10-01-21,DBX,22,22,21.48,22,0,0.02,0,0.0
10-01-21,SPWR,29,28,31.78,15,-30,-0.09,-15,-0.03
10-01-21,NIO,58,54,57.21,15,0,0.01,-60,-0.07
10-01-21,SONO,24,24,21.199,25,50,0.13,0,0.0
10-01-21,RVLV,33,33,27.4,9,45,0.2,0,0.0
10-01-21,MRNA,112,113,146.58,3,-102,-0.24,3,0.01
10-01-21,HFG.DE,64,65,61.95,7,14,0.03,7,0.02
10-01-21,BNTX,100,91,110.4,5,-50,-0.09,-45,-0.09
10-01-21,NET,79,76,81.53,6,-12,-0.03,-18,-0.04
10-01-21,PINS,71,69,67.48,10,30,0.05,-20,-0.03
10-01-21,ABNB,149,146,148.69,5,0,0.0,-15,-0.02
11-01-21,AAPL,128,129,132.12,3,-12,-0.03,3,0.01
11-01-21,ADS,72,74,77.23,6,-30,-0.07,12,0.03
11-01-21,DBX,23,22,21.48,22,22,0.07,-22,-0.04
11-01-21,SPWR,29,28,31.78,15,-30,-0.09,-15,-0.03
11-01-21,NIO,62,55,57.21,15,60,0.08,-105,-0.11
11-01-21,SONO,25,24,21.199,25,75,0.18,-25,-0.04
11-01-21,RVLV,33,33,27.4,9,45,0.2,0,0.0
11-01-21,MRNA,117,113,146.58,3,-87,-0.2,-12,-0.03
11-01-21,HFG.DE,63,65,61.95,7,7,0.02,14,0.03
11-01-21,BNTX,108,94,110.4,5,-10,-0.02,-70,-0.13
11-01-21,NET,76,76,81.53,6,-30,-0.07,0,0.0
11-01-21,PINS,71,69,67.48,10,30,0.05,-20,-0.03
11-01-21,ABNB,148,146,148.69,5,0,-0.0,-10,-0.01
12-01-21,AAPL,128,129,131.078,4,-12,-0.02,4,0.01
12-01-21,ADS,73,74,77.23,6,-24,-0.05,6,0.01
12-01-21,DBX,23,22,21.49,24,24,0.07,-24,-0.04
12-01-21,SPWR,30,28,31.78,15,-15,-0.06,-30,-0.07
12-01-21,NIO,62,56,57.21,15,60,0.08,-90,-0.1
12-01-21,SONO,26,24,21.199,25,100,0.23,-50,-0.08
12-01-21,RVLV,35,33,29.6,15,75,0.18,-30,-0.06
12-01-21,MRNA,124,115,146.58,3,-66,-0.15,-27,-0.07
12-01-21,HFG.DE,63,65,61.95,7,7,0.02,14,0.03
12-01-21,BNTX,105,96,110.4,5,-25,-0.05,-45,-0.09
12-01-21,NET,77,76,81.53,6,-24,-0.06,-6,-0.01
12-01-21,PINS,75,70,67.48,10,70,0.11,-50,-0.07
12-01-21,TWTR,47,51,48.75,2,-2,-0.04,8,0.09
12-01-21,ABNB,160,148,149.56,9,90,0.07,-108,-0.07
13-01-21,AAPL,130,129,131.078,4,-4,-0.01,-4,-0.01
13-01-21,ADS,73,74,77.23,6,-24,-0.05,6,0.01
13-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
13-01-21,SPWR,31,28,31.78,15,0,-0.02,-45,-0.1
13-01-21,NIO,62,57,57.21,15,60,0.08,-75,-0.08
13-01-21,SONO,26,24,21.199,25,100,0.23,-50,-0.08
13-01-21,RVLV,34,33,29.6,15,60,0.15,-15,-0.03
13-01-21,MRNA,124,116,146.58,3,-66,-0.15,-24,-0.06
13-01-21,HFG.DE,63,64,61.95,7,7,0.02,7,0.02
13-01-21,BNTX,102,96,110.4,5,-40,-0.08,-30,-0.06
13-01-21,NET,82,77,81.53,6,0,0.01,-30,-0.06
13-01-21,PINS,72,70,67.48,10,40,0.07,-20,-0.03
13-01-21,TWTR,47,50,48.75,2,-2,-0.04,6,0.06
13-01-21,ABNB,169,151,149.56,9,171,0.13,-162,-0.11
14-01-21,AAPL,128,129,131.078,4,-12,-0.02,4,0.01
14-01-21,ADS,74,73,77.23,6,-18,-0.04,-6,-0.01
14-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
14-01-21,SPWR,35,31,31.78,15,45,0.1,-60,-0.11
14-01-21,NIO,60,61,57.21,15,30,0.05,15,0.02
14-01-21,SONO,26,26,21.199,25,100,0.23,0,0.0
14-01-21,RVLV,35,34,29.6,15,75,0.18,-15,-0.03
14-01-21,MRNA,129,123,146.58,3,-51,-0.12,-18,-0.05
14-01-21,HFG.DE,64,63,61.95,7,14,0.03,-7,-0.02
14-01-21,BNTX,105,105,110.4,5,-25,-0.05,0,0.0
14-01-21,NET,80,79,81.53,6,-6,-0.02,-6,-0.01
14-01-21,PINS,70,72,67.48,10,20,0.04,20,0.03
14-01-21,TWTR,45,47,48.75,2,-6,-0.08,4,0.04
14-01-21,ABNB,180,164,149.56,9,270,0.2,-144,-0.09
15-01-21,AAPL,127,128,131.078,4,-16,-0.03,4,0.01
15-01-21,ADS,71,73,77.23,6,-36,-0.08,12,0.03
15-01-21,DBX,22,22,21.49,24,0,0.02,0,0.0
15-01-21,SPWR,31,31,31.78,15,0,-0.02,0,0.0
15-01-21,NIO,56,60,57.21,15,-15,-0.02,60,0.07
15-01-21,SONO,26,26,21.199,25,100,0.23,0,0.0
15-01-21,RVLV,35,34,29.6,15,75,0.18,-15,-0.03
15-01-21,MRNA,129,125,146.58,3,-51,-0.12,-12,-0.03
